,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
1,Radikale Venstre,148,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
2,Det Konservative Folkeparti,194,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
3,SF - Socialistisk Folkeparti,180,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
4,Liberal Alliance,88,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
5,Kristendemokraterne,29,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
6,Dansk Folkeparti,289,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
7,"Venstre, Danmarks Liberale Parti",749,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
8,Enhedslisten - De Rød-Grønne,59,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
9,Hans Schultz,1,2736,19,4,2329,2352,2011-09-16 15:18:41,Taarshallen                    Halvej 14                    9830 Tårs,Taars,F1002860011.htm,https://www.kmdvalg.dk/fv/2011/F1002860011.htm,2011
0,Socialdemokratiet,331,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
1,Radikale Venstre,53,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
2,Det Konservative Folkeparti,63,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
3,SF - Socialistisk Folkeparti,109,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
4,Liberal Alliance,54,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
5,Kristendemokraterne,6,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
6,Dansk Folkeparti,143,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
7,"Venstre, Danmarks Liberale Parti",452,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
8,Enhedslisten - De Rød-Grønne,48,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
9,Hans Schultz,1,1497,13,1,1260,1274,2011-09-16 15:42:57,"Vrejlev-Hæstrup Hallen                    Poulstrup Skolevej 5, Poulstrup                    9760 Vrå",Vrejlev-Hæstrup,F1002860012.htm,https://www.kmdvalg.dk/fv/2011/F1002860012.htm,2011
0,Socialdemokratiet,272,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
1,Radikale Venstre,58,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
2,Det Konservative Folkeparti,86,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
3,SF - Socialistisk Folkeparti,92,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
4,Liberal Alliance,62,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
5,Kristendemokraterne,8,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
6,Dansk Folkeparti,128,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
7,"Venstre, Danmarks Liberale Parti",426,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
8,Enhedslisten - De Rød-Grønne,44,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
9,Hans Schultz,0,1309,8,2,1176,1186,2011-09-16 13:12:15,"Bjergby-Mygdal Hallen                    Asdalvej 16, Bjergby                    9800 Hjørring",Bjergby-Mygdal,F1002860013.htm,https://www.kmdvalg.dk/fv/2011/F1002860013.htm,2011
0,Socialdemokratiet,273,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
1,Radikale Venstre,72,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
2,Det Konservative Folkeparti,89,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
3,SF - Socialistisk Folkeparti,124,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
4,Liberal Alliance,33,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
5,Kristendemokraterne,5,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
6,Dansk Folkeparti,129,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
7,"Venstre, Danmarks Liberale Parti",335,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
8,Enhedslisten - De Rød-Grønne,62,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
9,Hans Schultz,0,1264,7,1,1122,1130,2011-09-16 13:25:18,"Skallerup Hallen                    Villerupvej 117, Skallerup                    9800 Hjørring",Skallerup,F1002860014.htm,https://www.kmdvalg.dk/fv/2011/F1002860014.htm,2011
0,Socialdemokratiet,1461,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
1,Radikale Venstre,268,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
2,Det Konservative Folkeparti,288,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
3,SF - Socialistisk Folkeparti,438,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
4,Liberal Alliance,154,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
5,Kristendemokraterne,19,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
6,Dansk Folkeparti,423,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
7,"Venstre, Danmarks Liberale Parti",1198,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
8,Enhedslisten - De Rød-Grønne,171,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
9,Hans Schultz,0,4989,23,7,4420,4450,2011-09-16 15:42:09,Højene-Hallen                    Vellingshøjvej 380                    9800 Hjørring,Hjørring - Nord,F1002860015.htm,https://www.kmdvalg.dk/fv/2011/F1002860015.htm,2011
0,Socialdemokratiet,1175,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
1,Radikale Venstre,270,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
2,Det Konservative Folkeparti,275,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
3,SF - Socialistisk Folkeparti,394,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
4,Liberal Alliance,160,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
5,Kristendemokraterne,27,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
6,Dansk Folkeparti,419,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
7,"Venstre, Danmarks Liberale Parti",1167,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
8,Enhedslisten - De Rød-Grønne,151,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
9,Hans Schultz,1,4702,32,4,4039,4075,2011-09-16 15:06:06,Bagterp-Hallen                    Fuglsigvej 23                    9800 Hjørring,Hjørring - Syd,F1002860016.htm,https://www.kmdvalg.dk/fv/2011/F1002860016.htm,2011
0,Socialdemokratiet,715,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
1,Radikale Venstre,151,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
2,Det Konservative Folkeparti,160,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
3,SF - Socialistisk Folkeparti,224,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
4,Liberal Alliance,52,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
5,Kristendemokraterne,34,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
6,Dansk Folkeparti,233,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
7,"Venstre, Danmarks Liberale Parti",624,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
8,Enhedslisten - De Rød-Grønne,86,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
9,Hans Schultz,2,2632,15,4,2281,2300,2011-09-16 14:02:56,Lundergaard-Hallen                    Bodøvej 13                    9800 Hjørring,Hjørring - Vest,F1002860018.htm,https://www.kmdvalg.dk/fv/2011/F1002860018.htm,2011
0,Socialdemokratiet,763,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
1,Radikale Venstre,192,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
2,Det Konservative Folkeparti,153,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
3,SF - Socialistisk Folkeparti,308,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
4,Liberal Alliance,120,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
5,Kristendemokraterne,41,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
6,Dansk Folkeparti,298,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
7,"Venstre, Danmarks Liberale Parti",876,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
8,Enhedslisten - De Rød-Grønne,111,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
9,Hans Schultz,1,3337,18,3,2863,2884,2011-09-16 13:27:16,Idrætscenter Vendsyssel                    Stadionvej 17                    9760 Vrå,Vrå,F1002860019.htm,https://www.kmdvalg.dk/fv/2011/F1002860019.htm,2011
0,Socialdemokratiet,199,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
1,Radikale Venstre,49,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
2,Det Konservative Folkeparti,49,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
3,SF - Socialistisk Folkeparti,66,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
4,Liberal Alliance,29,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
5,Kristendemokraterne,3,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
6,Dansk Folkeparti,119,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
7,"Venstre, Danmarks Liberale Parti",242,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
8,Enhedslisten - De Rød-Grønne,31,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
9,Hans Schultz,0,894,5,1,787,793,2011-09-16 14:31:37,"Hundelev Skole                    Sejlstrupvej 5, Hundelev                    9480 Løkken",Hundelev,F1002860020.htm,https://www.kmdvalg.dk/fv/2011/F1002860020.htm,2011
0,Socialdemokratiet,542,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
1,Radikale Venstre,109,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
2,Det Konservative Folkeparti,166,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
3,SF - Socialistisk Folkeparti,138,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
4,Liberal Alliance,63,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
5,Kristendemokraterne,20,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
6,Dansk Folkeparti,256,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
7,"Venstre, Danmarks Liberale Parti",604,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
8,Enhedslisten - De Rød-Grønne,75,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
9,Hans Schultz,0,2341,9,3,1973,1985,2011-09-16 15:08:06,Løkken Centralskole                    Studievej 10                    9480 Løkken,Løkken,F1002860021.htm,https://www.kmdvalg.dk/fv/2011/F1002860021.htm,2011
0,Socialdemokratiet,625,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
1,Radikale Venstre,105,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
2,Det Konservative Folkeparti,154,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
3,SF - Socialistisk Folkeparti,171,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
4,Liberal Alliance,74,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
5,Kristendemokraterne,22,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
6,Dansk Folkeparti,257,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
7,"Venstre, Danmarks Liberale Parti",750,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
8,Enhedslisten - De Rød-Grønne,51,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
9,Hans Schultz,1,2598,12,7,2210,2229,2011-09-16 15:38:35,Sindal-Hallen                    Islandsgade 22                    9870 Sindal,Sindal,F1002860022.htm,https://www.kmdvalg.dk/fv/2011/F1002860022.htm,2011
0,Socialdemokratiet,180,919,4,2,816,822,2011-09-16 13:50:51,"Astrup Forsamlingshus                    Bøgstedvej 307, Astrup                    9800 Hjørring",Astrup,F1002860023.htm,https://www.kmdvalg.dk/fv/2011/F1002860023.htm,2011
1,Radikale Venstre,51,919,4,2,816,822,2011-09-16 13:50:51,"Astrup Forsamlingshus                    Bøgstedvej 307, Astrup                    9800 Hjørring",Astrup,F1002860023.htm,https://www.kmdvalg.dk/fv/2011/F1002860023.htm,2011
