id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;collect_links;requests;1598536457.6806197;-0.3749120235443115;https://www.kmdvalg.dk/fv/2019/KMDValgFV.html;https://www.kmdvalg.dk/fv/2019/KMDValgFV.html;49079;200;True;
1;collect_links;requests;1598536458.976585;-0.0507204532623291;https://www.kmdvalg.dk/fv/2019/F1003.htm;https://www.kmdvalg.dk/fv/2019/F1003.htm;49213;200;True;
2;collect_links;requests;1598536459.7717168;-0.040253639221191406;https://www.kmdvalg.dk/fv/2019/F1001.htm;https://www.kmdvalg.dk/fv/2019/F1001.htm;49200;200;True;
3;collect_links;requests;1598536460.5628784;-0.042018890380859375;https://www.kmdvalg.dk/fv/2019/F1005.htm;https://www.kmdvalg.dk/fv/2019/F1005.htm;49207;200;True;
4;collect_links;requests;1598536461.3270175;-0.06584477424621582;https://www.kmdvalg.dk/fv/2019/F1002.htm;https://www.kmdvalg.dk/fv/2019/F1002.htm;49121;200;True;
5;collect_links;requests;1598536462.2831945;-0.04202008247375488;https://www.kmdvalg.dk/fv/2019/F1006.htm;https://www.kmdvalg.dk/fv/2019/F1006.htm;49126;200;True;
6;collect_links;requests;1598536463.0734074;-0.028196334838867188;https://www.kmdvalg.dk/fv/2019/F1004.htm;https://www.kmdvalg.dk/fv/2019/F1004.htm;49192;200;True;
8;collect_links;requests;1598536463.8573728;-0.046755313873291016;https://www.kmdvalg.dk/fv/2019/F1009.htm;;0;;False;[Errno 22] Invalid argument
9;collect_links;requests;1598536464.405371;-0.05284547805786133;https://www.kmdvalg.dk/fv/2019/F1009.htm;https://www.kmdvalg.dk/fv/2019/F1009.htm;49887;200;True;
10;collect_links;requests;1598536465.1822112;-0.03155183792114258;https://www.kmdvalg.dk/fv/2019/F1008.htm;https://www.kmdvalg.dk/fv/2019/F1008.htm;49947;200;True;
11;collect_links;requests;1598536466.0024054;-0.321164608001709;https://www.kmdvalg.dk/fv/2019/F1007.htm;https://www.kmdvalg.dk/fv/2019/F1007.htm;50142;200;True;
12;collect_links;requests;1598536467.0641255;-0.10098838806152344;https://www.kmdvalg.dk/fv/2019/F909.htm;https://www.kmdvalg.dk/fv/2019/F909.htm;50461;200;True;
13;collect_links;requests;1598536467.9663384;-0.06995773315429688;https://www.kmdvalg.dk/fv/2019/F908.htm;https://www.kmdvalg.dk/fv/2019/F908.htm;49669;200;True;
14;collect_links;requests;1598536468.7844608;-0.08057975769042969;https://www.kmdvalg.dk/fv/2019/F910.htm;https://www.kmdvalg.dk/fv/2019/F910.htm;49112;200;True;
15;collect_links;requests;1598536469.6219847;-0.06298136711120605;https://www.kmdvalg.dk/fv/2019/F907.htm;https://www.kmdvalg.dk/fv/2019/F907.htm;49085;200;True;
16;collect_links;requests;1598536470.4187188;-0.06276297569274902;https://www.kmdvalg.dk/fv/2019/F911.htm;https://www.kmdvalg.dk/fv/2019/F911.htm;49119;200;True;
