kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs;refs;municipality;names;constituency
151;1293533;710146;Skovvejens Skole - Vest;Skovvejens Skole - Vest;Ballerup Kommune;F208151003.htm;F208151003.htm;Ballerup Kommune;Højagerskolen;Ballerupkredsen
151;1293531;710158;Grantoftehallen;Grantoftehallen;Ballerup Kommune;F208151004.htm;F208151004.htm;Ballerup Kommune;Grantoftehallen;Ballerupkredsen
151;1293525;705652;Idrætshallen;Idrætshallen;Ballerup Kommune;F208151005.htm;F208151005.htm;Ballerup Kommune;Rosenlundskolen;Ballerupkredsen
151;1293535;704024;Skovlunde Skole - Nord;Skovlunde Skole - Nord;Ballerup Kommune;F208151006.htm;F208151006.htm;Ballerup Kommune;Lundebjergskolen;Ballerupkredsen
151;1293529;706992;Måløv Ny Hal;Måløv Ny Hal;Ballerup Kommune;F208151008.htm;F208151008.htm;Ballerup Kommune;Måløv Ny Hal;Ballerupkredsen
151;1293539;710152;Egebjerghallen;Egebjerghallen;Ballerup Kommune;F208151009.htm;F208151009.htm;Ballerup Kommune;Egebjerghallen;Ballerupkredsen
151;1293537;710164;Østerhøjhallen;Østerhøjhallen;Ballerup Kommune;F208151010.htm;F208151010.htm;Ballerup Kommune;Østerhøjhallen;Ballerupkredsen
530;1292081;704500;Billund-Centret;Billund;Billund Kommune;F707530001.htm;F707530001.htm;Billund Kommune;Billund;Vejenkredsen
530;1291755;701374;Sdr. Omme Kro;Sdr. Omme;Billund Kommune;F707530002.htm;F707530002.htm;Billund Kommune;Sdr. Omme;Vejenkredsen
530;1291987;704532;Vorbasse Fritidscenter;Vorbasse;Billund Kommune;F707530003.htm;F707530003.htm;Billund Kommune;Vorbasse;Vejenkredsen
530;1292273;702968;Filskov Kro;Filskov;Billund Kommune;F707530004.htm;F707530004.htm;Billund Kommune;Filskov;Vejenkredsen
530;1292177;710594;Teglgaardshallen;St./Krogager;Billund Kommune;F707530005.htm;F707530005.htm;Billund Kommune;St./Krogager;Vejenkredsen
530;1291661;707400;"Magion; Hal 3";Grindsted;Billund Kommune;F707530006.htm;F707530006.htm;Billund Kommune;Grindsted;Vejenkredsen
530;1291753;708930;Hejnsvig Skole;Hejnsvig;Billund Kommune;F707530007.htm;F707530007.htm;Billund Kommune;Hejnsvig;Vejenkredsen
400;1288966;712002;Bornholms Ungdomsskole;Klemensker;Bornholm Kommune;F401400007.htm;F401400007.htm;Bornholm Kommune;Klemensker;Rønnekredsen
400;1289090;711102;Rønne Idrætshal;Rønne;Bornholm Kommune;F401400008.htm;F401400008.htm;Bornholm Kommune;Rønne;Rønnekredsen
400;1288964;707890;Hasle Hallen;Hasle;Bornholm Kommune;F401400009.htm;F401400009.htm;Bornholm Kommune;Hasle;Rønnekredsen
400;1288962;703208;Bornholms Idræts- & Kulturcenter;Allinge;Bornholm Kommune;F402400001.htm;F402400001.htm;Bornholm Kommune;Allinge;Aakirkebykredsen
400;1291749;707574;Østermarie Hallen;Østermarie;Bornholm Kommune;F402400002.htm;F402400002.htm;Bornholm Kommune;Østermarie;Aakirkebykredsen
400;1292079;703086;Svaneke Hallen;Svaneke;Bornholm Kommune;F402400003.htm;F402400003.htm;Bornholm Kommune;Svaneke;Aakirkebykredsen
400;1292131;703286;Paradisbakkeskolen;Nexø;Bornholm Kommune;F402400004.htm;F402400004.htm;Bornholm Kommune;Nexø;Aakirkebykredsen
400;1292171;709262;Pedersker Samlingshus;Pedersker;Bornholm Kommune;F402400005.htm;F402400005.htm;Bornholm Kommune;Pedersker;Aakirkebykredsen
400;1288888;704742;"Aakirkeby-Hallerne; Mødelokaler";Aakirkeby;Bornholm Kommune;F402400006.htm;F402400006.htm;Bornholm Kommune;Aakirkeby;Aakirkebykredsen
153;1277386;707090;Brøndbyvester Skole;Brøndbyvester Skole;Brøndby Kommune;F206153001.htm;F206153001.htm;Brøndby Kommune;Brøndbyvester Skole;Brøndbykredsen
153;1276005;707084;Tjørnehøjhallen;Tjørnehøjhallen;Brøndby Kommune;F206153002.htm;F206153002.htm;Brøndby Kommune;Tjørnehøjhallen;Brøndbykredsen
153;1277378;708674;Lindelundshallen;Lindelundshallen;Brøndby Kommune;F206153003.htm;F206153003.htm;Brøndby Kommune;Lindelundshallen;Brøndbykredsen
153;1275834;702442;Nørregård;Nørregård;Brøndby Kommune;F206153004.htm;F206153004.htm;Brøndby Kommune;Nørregård;Brøndbykredsen
153;1277527;702448;Kulturhuset Brønden;Kulturhuset Brønden;Brøndby Kommune;F206153005.htm;F206153005.htm;Brøndby Kommune;Kulturhuset Brønden;Brøndbykredsen
810;1298257;708624;Agersted Kro;Agersted;Brønderslev Kommune;F1003810001.htm;F1003810001.htm;Brønderslev Kommune;Agersted;Brønderslevkredsen
810;1298237;708636;Asaa-Hallen;Asaa;Brønderslev Kommune;F1003810002.htm;F1003810002.htm;Brønderslev Kommune;Asaa;Brønderslevkredsen
810;1298233;710140;Brønderslev-Hallen;Dronninglund;Brønderslev Kommune;F1003810003.htm;F1003810003.htm;Brønderslev Kommune;Dronninglund;Brønderslevkredsen
810;1298235;700996;Jyske Ås Kulturhus & Vandrehjem;Flauenskjold;Brønderslev Kommune;F1003810004.htm;F1003810004.htm;Brønderslev Kommune;Flauenskjold;Brønderslevkredsen
