,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,year,salgspris
940,661020,8.9,8.5,661,56.356742883156,8.61810619783204,7500,Balletskolen,Grundskoler,Friskoler og private grundskoler,"(56.356742883156, 8.61810619783204)",2019,11555.0
941,661300,6.6,6.5,661,56.3647642913348,8.63351388654613,7500,Idrætsefterskolen Lægården,Efterskoler,Efterskoler,"(56.3647642913348, 8.63351388654613)",2019,11555.0
942,661303,9.4,8.8,661,56.359714325593394,8.59798561133935,7500,Orkesterefterskolen,Efterskoler,Efterskoler,"(56.359714325593394, 8.59798561133935)",2019,11555.0
943,663001,6.0,6.4,756,56.1416882290739,9.27734145816942,7441,Bording Skole,Grundskoler,Folkeskoler,"(56.1416882290739, 9.27734145816942)",2019,7978.0
944,663002,7.0,7.0,756,56.1704658093266,9.34341846918875,7442,Engesvang Skole,Grundskoler,Folkeskoler,"(56.1704658093266, 9.34341846918875)",2019,8253.0
945,663003,6.2,6.3,756,56.1381782405195,9.164021041366961,7430,Ikast Østre Skole,Grundskoler,Folkeskoler,"(56.1381782405195, 9.164021041366961)",2019,10461.0
946,663006,6.9,6.4,756,56.1482668743501,9.14572209469496,7430,Ikast Nordre Skole,Grundskoler,Folkeskoler,"(56.1482668743501, 9.14572209469496)",2019,10461.0
947,663008,7.9,7.2,756,56.126256934034394,9.15415196203222,7430,Hyldgårdsskolen,Grundskoler,Folkeskoler,"(56.126256934034394, 9.15415196203222)",2019,10461.0
948,663302,7.8,7.6,756,56.1486731306388,9.142384563195927,7430,Idrætsskolerne Ikast,Efterskoler,Efterskoler,"(56.1486731306388, 9.142384563195929)",2019,10461.0
949,665002,7.2,6.8,665,56.5417072334074,8.300397891210551,7620,Christinelystskolen,Grundskoler,Folkeskoler,"(56.5417072334074, 8.300397891210551)",2019,5849.0
