,KOMKODE,YEAR,DISINDK,KRIMINELITET,LAVINDK,SKILSMISSER,ANDEL_INDV
1417,101,2015,209991,6.4,40.6,20.8,14.84715783455447
1658,185,2015,227877,4.0,17.0,14.0,8.302859821847164
1819,147,2015,252988,2.2,26.4,16.9,9.681793440301348
1937,161,2015,219926,5.6,19.1,17.7,13.145000167423795
1938,165,2015,196771,6.1,34.3,15.9,23.402835997151385
1939,153,2015,197052,7.0,31.0,14.3,25.816335961438657
1941,167,2015,213854,4.7,20.9,17.2,13.911294157931783
1942,175,2015,216505,3.9,20.7,17.3,13.732757935982631
1945,187,2015,246651,3.1,17.9,12.9,16.250040899126393
1946,169,2015,212484,3.8,27.0,15.2,20.390864020517586
1947,183,2015,193760,6.1,28.5,14.6,30.780255495869635
1950,253,2015,242508,2.5,17.4,14.1,9.324214828441988
1951,265,2015,242144,3.6,17.4,14.7,6.439054660835865
1958,269,2015,263333,1.8,11.8,15.1,4.551493097672269
1964,151,2015,223323,3.6,17.3,13.3,11.350083856140133
1965,159,2015,235249,2.8,21.8,14.9,12.941507644897477
1966,163,2015,220790,3.8,16.0,14.5,13.967010272728078
1971,240,2015,256199,1.1,8.8,13.2,5.167795070195493
1976,155,2015,289465,0.9,10.5,7.5,3.7753321223777467
1978,157,2015,425302,1.7,20.5,15.7,7.59860518662949
1980,173,2015,321890,2.7,17.4,13.4,7.541895620055176
1981,230,2015,379354,1.6,11.7,12.7,6.392848296516472
1994,190,2015,285128,2.1,13.1,12.9,8.681114080528921
2001,223,2015,354864,1.3,12.7,13.6,5.37143659598371
2004,210,2015,268065,2.2,15.4,16.2,10.397289188698272
2010,217,2015,239974,4.8,19.6,15.4,8.305686772888725
2017,270,2015,232054,2.7,13.7,14.9,3.5878542411340595
2021,219,2015,251272,4.0,13.3,15.7,7.164611743719942
2029,260,2015,210450,3.3,16.7,16.4,5.835683490550747
2039,201,2015,288485,3.3,8.7,11.3,4.785118404144655
2068,250,2015,227244,4.3,13.5,14.6,4.751389885222382
2077,400,2015,189477,4.5,16.8,16.4,2.7134851226377164
2083,411,2015,0,0.0,0.0,0.0,0.0
2089,350,2015,238443,1.6,11.2,14.7,3.2433823056497326
2096,259,2015,221728,2.8,14.8,17.4,7.36280923630615
2097,316,2015,217027,3.5,18.0,15.0,6.105204796895195
2098,320,2015,207107,4.0,16.6,17.6,3.3055806852877985
2099,329,2015,214485,3.6,16.1,15.1,8.380884714728715
2100,340,2015,216561,3.0,14.1,17.1,3.448627864640931
2101,370,2015,210156,3.3,17.4,17.4,5.496873931519562
2115,330,2015,202831,5.3,24.9,16.4,7.728313816574728
2119,326,2015,211370,3.8,17.8,17.3,4.282279282665445
2176,306,2015,198086,3.5,19.0,15.6,3.067278800542989
2195,336,2015,217194,1.9,12.6,17.1,2.92102823811354
2226,390,2015,200998,4.4,19.2,15.2,3.1921834820131263
2242,376,2015,193790,5.7,23.0,13.0,4.2364875965171676
2254,360,2015,184575,6.7,25.8,15.0,4.772916581720324
2275,461,2015,201180,5.4,25.3,15.4,10.902663186170333
2284,480,2015,199840,2.6,13.3,16.9,2.797064924822987
2285,440,2015,208480,2.4,12.3,13.7,3.7138927097661623
2297,410,2015,221205,2.8,11.6,14.2,3.7305802025266352
2305,420,2015,199676,2.5,12.9,14.3,2.392108957645815
2310,450,2015,200214,4.6,11.9,14.1,5.24595599554745
2311,430,2015,201163,1.7,12.1,14.3,3.0824130639097747
2332,479,2015,207099,3.2,18.2,14.5,5.070786178406989
2357,482,2015,179988,2.8,23.1,14.4,2.7475911393662464
2362,492,2015,188887,0.6,18.9,10.2,2.087316762268961
2366,621,2015,216806,4.2,17.6,14.7,7.1487198350759975
2368,630,2015,223679,3.7,15.1,14.0,6.908175658471405
2373,510,2015,198173,2.9,19.6,14.9,4.8593304684219465
2382,580,2015,198437,4.8,19.7,13.8,5.120612267408809
2385,550,2015,189550,3.6,20.1,12.7,3.3503373375020566
2389,540,2015,199900,3.0,17.2,13.7,6.402066195780737
2415,575,2015,203630,2.9,13.6,13.2,4.102516069358748
2418,530,2015,212304,2.7,11.6,13.8,4.792147257900683
2426,561,2015,210319,6.0,18.5,15.5,6.132464345760115
2429,573,2015,205141,2.8,13.7,11.6,3.710381996503305
2439,563,2015,233539,2.6,12.9,11.7,3.390607101947308
2454,760,2015,207635,1.6,13.4,12.5,3.7438962972694827
2471,657,2015,211934,4.1,15.8,12.8,5.779587246117342
2481,661,2015,212478,4.4,14.8,11.2,4.734922495766575
2482,665,2015,208170,2.3,13.4,9.1,2.7471325816485224
2484,607,2015,209082,3.9,20.7,15.1,7.382015858176656
2488,766,2015,218083,2.2,11.1,12.7,2.9913813159047993
2517,756,2015,207661,2.6,15.3,14.1,6.2292185563721585
2524,740,2015,223506,2.8,13.7,14.6,4.190742638708069
2538,791,2015,212065,3.5,15.5,14.4,4.3694906280061545
2544,671,2015,200626,4.2,17.1,13.2,4.608865177852231
2562,787,2015,199175,3.6,15.6,12.4,3.581891265840033
2573,779,2015,200114,3.9,14.1,13.5,3.478722377689858
2585,773,2015,190725,3.2,18.2,9.2,2.7149757290324135
2591,751,2015,220011,4.4,22.2,14.9,10.917693384869564
2601,727,2015,222963,2.0,10.8,14.5,3.717100025023317
2603,741,2015,201209,1.9,15.1,16.9,1.4053254437869822
2612,746,2015,241806,1.9,8.3,11.5,3.5056726231327793
2614,710,2015,224587,2.3,9.3,11.8,2.994008829093967
2620,706,2015,216081,2.5,12.4,13.2,3.4500490301595272
2624,707,2015,195317,5.0,19.7,16.1,3.482465951707349
2665,615,2015,212286,3.1,17.5,15.9,6.854968779521209
2710,730,2015,201261,4.3,20.2,16.3,5.086366671048799
2730,846,2015,200465,3.1,16.6,13.4,3.661640885059722
2736,851,2015,203080,3.5,20.6,13.0,5.750086398894094
2740,840,2015,218859,1.4,9.4,11.7,2.5890330595624267
2742,820,2015,192756,3.0,18.1,15.2,3.570688398772555
2751,813,2015,201863,2.8,15.0,12.1,3.3851253366480214
2753,810,2015,198125,3.5,15.4,12.6,3.6897978517393666
2765,849,2015,200225,3.5,15.5,11.9,2.9201690247221443
2779,860,2015,201501,3.3,17.7,14.5,4.12013096294483
2835,825,2015,188907,3.8,17.9,14.9,0.5956503670868541
