,objectid,afstem_navn1,afstem_navn2,kommunekod,kommunenavn,opst_kreds,postnr,time_stamp,votes,left_votes,right_votes,independent_votes,blank_votes,invalid_votes,left_share,right_share,independent_share,institutionsnummer,skole_navn,institutionstype2,institutionstype3,karakter,karakter_soc_ref,salgspris,disindk,kriminelitet,lavindk,skilsmisser,andel_indv
1137,1295812,Taasingehallen,Bregninge,479,Svendborg Kommune,Svendborgkredsen,5700,13:15 06-06-2019,2830.0,1380.0,1450.0,0.0,20,5,0.4876325088339223,0.5123674911660777,0.0,280139,Tåsingeskolen,Grundskoler,Folkeskoler,7.4,7.3,13270.75,218492,5.9,22.9,15.5,5.665703024583548
1138,1295808,Thurøhallen,Thurø,479,Svendborg Kommune,Svendborgkredsen,5700,13:00 06-06-2019,2555.0,1290.0,1265.0,0.0,21,6,0.5048923679060665,0.49510763209393344,0.0,280139,Tåsingeskolen,Grundskoler,Folkeskoler,7.4,7.3,13270.75,218492,5.9,22.9,15.5,5.665703024583548
1139,1295828,Midtbyhallen,Byen,479,Svendborg Kommune,Svendborgkredsen,5700,12:56 06-06-2019,9152.0,5677.0,3475.0,0.0,133,27,0.6203015734265733,0.3796984265734265,0.0,479013,Haahrs Skole,Grundskoler,Friskoler og private grundskoler,7.6,7.6,13270.75,218492,5.9,22.9,15.5,5.665703024583548
1140,1295774,Svendborg Erhvervsskole og Gym,Nordre,479,Svendborg Kommune,Svendborgkredsen,5700,11:51 06-06-2019,2095.0,1350.0,745.0,0.0,23,13,0.6443914081145584,0.3556085918854415,0.0,479013,Haahrs Skole,Grundskoler,Friskoler og private grundskoler,7.6,7.6,13270.75,218492,5.9,22.9,15.5,5.665703024583548
1141,1295762,Gudbjerg Forsamlingshus,Gudbjerg,479,Svendborg Kommune,Svendborgkredsen,5884,09:26 06-06-2019,818.0,392.0,426.0,0.0,5,1,0.4792176039119804,0.5207823960880196,0.0,280137,Stokkebækskolen,Grundskoler,Folkeskoler,7.4,7.1,11865.75,218492,5.9,22.9,15.5,5.665703024583548
1142,1295786,"Stokkebækskolen, Gudme",Gudme,479,Svendborg Kommune,Svendborgkredsen,5884,10:06 06-06-2019,1007.0,483.0,524.0,0.0,12,5,0.4796425024826216,0.5203574975173783,0.0,280137,Stokkebækskolen,Grundskoler,Folkeskoler,7.4,7.1,11865.75,218492,5.9,22.9,15.5,5.665703024583548
1143,1295790,"Stokkebækskolen, afd. Hesselager",Hesselager,479,Svendborg Kommune,Svendborgkredsen,5884,10:37 06-06-2019,916.0,430.0,486.0,0.0,8,3,0.46943231441048033,0.5305676855895196,0.0,280137,Stokkebækskolen,Grundskoler,Folkeskoler,7.4,7.1,11865.75,218492,5.9,22.9,15.5,5.665703024583548
1144,1295776,Kirkeby Forsamlingshus,Kirkeby,479,Svendborg Kommune,Svendborgkredsen,5771,09:50 06-06-2019,899.0,474.0,425.0,0.0,9,3,0.5272525027808677,0.4727474972191324,0.0,280136,Issø-skolen,Grundskoler,Folkeskoler,6.8,6.8,6259.75,218492,5.9,22.9,15.5,5.665703024583548
1145,1295792,Stenstrup Plejecenter,Stenstrup,479,Svendborg Kommune,Svendborgkredsen,5771,12:17 06-06-2019,1656.0,867.0,789.0,0.0,17,5,0.5235507246376812,0.47644927536231885,0.0,280136,Issø-skolen,Grundskoler,Folkeskoler,6.8,6.8,6259.75,218492,5.9,22.9,15.5,5.665703024583548
1146,1295780,Ø. Skerninge Forsamlingshus,Ollerup,479,Svendborg Kommune,Svendborgkredsen,5762,12:41 06-06-2019,1448.0,921.0,527.0,0.0,14,6,0.6360497237569059,0.36395027624309384,0.0,280135,Vestermarkskolen,Grundskoler,Folkeskoler,7.6,7.4,8362.5,218492,5.9,22.9,15.5,5.665703024583548
1147,1292500,Fredericia Idrætscenter,Søndermarken,607,Fredericia Kommune,Fredericiakredsen,7000,13:14 06-06-2019,6083.0,3306.0,2777.0,0.0,75,21,0.5434818346210752,0.4565181653789249,0.0,607018,Sct. Knuds Skole,Grundskoler,Friskoler og private grundskoler,7.4,7.2,11601.5,222200,7.4,23.4,14.0,8.514579059434338
1148,1292492,Fredericia Gymnasium,Gymnasiet,607,Fredericia Kommune,Fredericiakredsen,7000,14:56 06-06-2019,8481.0,4650.0,3822.0,9.0,109,41,0.5482844004244782,0.45065440396179696,0.0010611956137247967,607018,Sct. Knuds Skole,Grundskoler,Friskoler og private grundskoler,7.4,7.2,11601.5,222200,7.4,23.4,14.0,8.514579059434338
1149,1292506,Fredericia Rådhus,Indre By,607,Fredericia Kommune,Fredericiakredsen,7000,12:56 06-06-2019,3634.0,1982.0000000000002,1646.0,6.0,48,23,0.5454045129334067,0.45294441386901485,0.001651073197578426,607018,Sct. Knuds Skole,Grundskoler,Friskoler og private grundskoler,7.4,7.2,11601.5,222200,7.4,23.4,14.0,8.514579059434338
1150,1292488,Bredstrup-Pjedstedhallen,Bredstrup-Pjedsted,607,Fredericia Kommune,Fredericiakredsen,7080,09:59 06-06-2019,969.0,415.0,554.0,0.0,7,1,0.4282765737874097,0.5717234262125903,0.0,603005,Englystskolen,Grundskoler,Folkeskoler,7.3,7.2,10996.25,222200,7.4,23.4,14.0,8.514579059434338
