,KOMKODE,YEAR,DISINDK,KRIMINELITET,LAVINDK,LANGLEDIG,SKILSMISSER,ANDEL_INDV
3996,779,2019,215303,4.2,19.7,0.3249999999999999,11.6,4.591269647630356
4008,773,2019,202190,2.9,22.1,0.3416666666666666,12.3,3.911355707336249
4014,751,2019,234439,6.5,26.4,0.7916666666666666,13.1,11.757828587172346
4024,727,2019,238007,3.4,13.6,0.5666666666666668,10.5,4.91165611814346
4026,741,2019,211378,3.5,15.3,0.6166666666666666,15.0,2.5288919102651257
4035,746,2019,259984,2.8,10.2,0.3166666666666666,11.0,4.554750625796057
4037,710,2019,243703,4.0,9.9,0.37499999999999994,11.4,4.069343725933085
4043,706,2019,230006,3.1,16.3,0.5,14.0,3.97362191410213
4047,707,2019,207855,8.2,21.7,0.75,14.7,4.331983266274082
4088,615,2019,230081,6.4,18.9,0.525,14.1,7.996971990915973
4133,730,2019,216009,6.2,22.4,0.6666666666666666,14.7,6.052049772531158
4153,846,2019,216354,4.7,19.8,0.6499999999999999,14.1,4.6706244188541595
4159,851,2019,218056,5.2,22.9,0.8750000000000001,12.5,7.0100196083654644
4163,840,2019,238925,2.2,11.7,0.4166666666666667,12.7,3.637666427821566
4165,820,2019,208305,4.4,20.8,0.6916666666666668,13.6,4.535320505891255
4174,813,2019,214560,4.2,19.2,0.6499999999999998,12.9,4.298997554399993
4176,810,2019,211674,3.9,18.9,0.46666666666666673,13.2,4.533899469590788
4188,849,2019,213308,4.9,20.1,0.30833333333333324,11.3,3.607620855298652
4202,860,2019,217772,4.2,20.5,0.4833333333333334,11.4,5.103595486500491
4258,825,2019,200288,0.6,16.2,0.44166666666666665,16.3,1.1891592920353982
