,left_votes,right_votes,left_share,right_share,kom_kode
0,12163,23661,0.3395209915140688,0.6604790084859312,580
1,66749,64436,0.5088157944886992,0.4911842055113008,851
2,119338,86617,0.5794372557111991,0.42056274428880097,751
3,9579,5389,0.6399652592196686,0.3600347407803314,165
4,6821,9126,0.4277293534834138,0.5722706465165862,201
5,12007,14573,0.45173062452972157,0.5482693754702784,420
6,16208,13195,0.5512362684079856,0.44876373159201444,151
7,4697,11678,0.28683969465648856,0.7131603053435115,530
8,13263,12634,0.5121442638143414,0.4878557361856586,400
9,10363,8333,0.5542896876337184,0.44571031236628156,153
10,9876,12723,0.43701048718969865,0.5629895128103013,810
11,1390,2008,0.4090641553855209,0.5909358446144791,155
12,11377,15881,0.4173820529752733,0.5826179470247267,240
13,29769,41484,0.41779293503431436,0.5822070649656856,561
14,15034,18060,0.45428174291412343,0.5457182570858766,430
15,1148,1096,0.5115864527629234,0.48841354723707664,563
16,13174,16662,0.441547124279394,0.558452875720606,710
17,9245,13350,0.4091613188758575,0.5908386811241425,320
18,10607,13665,0.4370056031641397,0.5629943968358603,210
19,13477,17755,0.4315125512295082,0.5684874487704918,607
20,39191,25499,0.6058277940949142,0.3941722059050858,147
21,17037,21894,0.43762040533251134,0.5623795946674887,813
22,12512,16179,0.4360949426649472,0.5639050573350528,250
23,12266,12126,0.502869793374877,0.497130206625123,190
24,18111,26886,0.40249349956663777,0.5975065004333622,157
25,22470,16558,0.5757404940043046,0.4242595059956954,159
26,6542,6887,0.4871546652766401,0.5128453347233599,161
27,11369,18986,0.3745346730357437,0.6254653269642563,253
28,10536,16344,0.3919642857142857,0.6080357142857142,270
29,18717,20918,0.47223413649552165,0.5277658635044784,376
30,13188,22279,0.3718386105393746,0.6281613894606254,510
31,9482,9994,0.4868556171698501,0.51314438283015,260
32,9631,19822,0.32699555223576543,0.6730044477642345,766
33,18465,19793,0.4826441528569188,0.5173558471430811,217
34,9248,7350,0.557175563320882,0.44282443667911797,163
35,17782,36949,0.32489813816666974,0.6751018618333303,657
36,12810,14584,0.46762064685697596,0.532379353143024,219
37,17423,24169,0.4189026735910752,0.5810973264089248,860
38,20183,22731,0.4703127184601762,0.5296872815398238,316
39,15370,21313,0.41899517487664584,0.5810048251233542,661
40,21962,28410,0.4359961883586119,0.564003811641388,615
41,16359,14120,0.5367302076839792,0.4632697923160209,167
42,12817,14154,0.47521411886841425,0.5247858811315858,169
43,4711,11579,0.2891958256599141,0.7108041743400859,223
44,7953,17038,0.31823456444319953,0.6817654355568005,756
45,5731,4837,0.5422975018925057,0.4577024981074943,183
46,10422,14289,0.4217554935049168,0.5782445064950832,849
47,13012,18006,0.41949835579341027,0.5805016442065897,326
48,7657,7910,0.4918738356780369,0.5081261643219631,440
49,21477,34077,0.3865968247110919,0.6134031752889081,621
50,227957,101487,0.6919446097060502,0.3080553902939498,101
51,16345,20781,0.4402575014814416,0.5597424985185584,259
52,3872,4689,0.4522836117276019,0.5477163882723981,482
53,8130,9776,0.4540377527085893,0.5459622472914107,350
54,4792,8722,0.35459523457155545,0.6454047654284446,665
55,11912,11719,0.5040836189750751,0.4959163810249249,360
56,16693,17151,0.4932336603238388,0.5067663396761612,173
57,504,743,0.4041700080192462,0.5958299919807538,825
58,11464,14927,0.4343905119169414,0.5656094880830587,846
59,11351,13327,0.4599643407083232,0.5400356592916769,410
60,6065,7512,0.4467113500773367,0.5532886499226634,773
61,10235,12758,0.4451354760144392,0.5548645239855609,707
62,7915,10927,0.4200721791741853,0.5799278208258146,480
63,10095,10426,0.4919350908825106,0.5080649091174894,450
64,24946,27470,0.47592338217338215,0.5240766178266179,370
65,7164,7179,0.4994770968416649,0.500522903158335,727
66,65904,56353,0.5390611580522997,0.46093884194770035,461
67,10149,11735,0.4637634801681594,0.5362365198318406,306
68,28237,32208,0.46715195632393086,0.5328480436760692,730
69,7845,10631,0.42460489283394676,0.5753951071660532,840
70,10231,25337,0.28764619883040937,0.7123538011695907,760
71,9164,11676,0.4397312859884837,0.5602687140115163,329
72,27250,26923,0.5030181086519114,0.4969818913480885,265
73,7040,9607,0.42289902084459663,0.5771009791554034,230
74,12739,9684,0.5681220175712438,0.4318779824287562,175
75,1252,1218,0.5068825910931174,0.4931174089068826,741
76,25308,31957,0.4419453418318344,0.5580546581681656,740
77,17896,19578,0.4775577733895501,0.5224422266104499,746
78,11830,15044,0.4402024261367865,0.5597975738632135,779
79,20273,26249,0.4357723227720218,0.5642276772279782,330
80,5032,8871,0.36193627274688916,0.6380637272531109,269
81,8309,10525,0.44117022406286505,0.558829775937135,340
82,5994,8613,0.41035120147874304,0.589648798521257,336
83,5866,8021,0.42240944768488514,0.5775905523151148,671
84,19525,18211,0.5174104303582786,0.48258956964172145,479
85,12443,14511,0.46163834681308896,0.538361653186911,706
86,17863,28533,0.3850116389343909,0.6149883610656091,540
87,11792,16316,0.41952469047957874,0.5804753095204213,787
88,12753,13132,0.49267915781340543,0.5073208421865946,185
89,7787,15873,0.3291208791208791,0.6708791208791208,550
90,3769,5154,0.4223915723411409,0.5776084276588591,187
91,9142,22403,0.2898082104929466,0.7101917895070534,573
92,8684,17794,0.32797039051287863,0.6720296094871214,575
93,26631,41602,0.3902950185394164,0.6097049814605836,630
94,4581,8372,0.35366324403613064,0.6463367559638694,820
95,23771,35850,0.3987017997014475,0.6012982002985525,791
96,14633,15443,0.4865341135789334,0.5134658864210666,390
97,1744,2523,0.4087180689008671,0.5912819310991329,492
