,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1018,773001,6.0,6.1,773,56.7836148384435,8.84058865581605,7900,Dueholmskolen,Grundskoler,Folkeskoler,"(56.7836148384435, 8.84058865581605)",Nykøbing M,Morsø Kommune,2011,5008.0,174164,2.0833333333333335,2.9,19.7,8.8,2.337219022849712
1019,773006,6.0,6.1,773,56.8369554259912,8.71916991119858,7950,Øster Jølby Skole,Grundskoler,Folkeskoler,"(56.8369554259912, 8.71916991119858)",Erslev,Morsø Kommune,2011,4313.0,174164,2.0833333333333335,2.9,19.7,8.8,2.337219022849712
1020,773021,6.1,6.3,773,56.8685163331532,8.73416642872954,7950,Bjergby Friskole,Grundskoler,Friskoler og private grundskoler,"(56.8685163331532, 8.73416642872954)",Erslev,Morsø Kommune,2011,4313.0,174164,2.0833333333333335,2.9,19.7,8.8,2.337219022849712
1021,773300,3.9,5.1,773,56.8394480902841,8.717907170499341,7950,Galtrup Musik- og Idrætsefterskole,Efterskoler,Efterskoler,"(56.8394480902841, 8.717907170499341)",Erslev,Morsø Kommune,2011,4313.0,174164,2.0833333333333335,2.9,19.7,8.8,2.337219022849712
1022,773301,5.8,6.3,773,56.7153076601237,8.69238553006959,7990,Blidstrup Efterskole,Efterskoler,Efterskoler,"(56.7153076601237, 8.69238553006959)",Øster Assels,Morsø Kommune,2011,,174164,2.0833333333333335,2.9,19.7,8.8,2.337219022849712
1023,775004,6.3,6.4,791,56.61846454824921,9.500583129138187,9632,Møldrup Skole,Grundskoler,Folkeskoler,"(56.61846454824921, 9.500583129138189)",Møldrup,Viborg Kommune,2011,5433.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1024,791028,5.5,5.7,791,56.57967927033261,9.50456816416945,9632,Bjerregrav Friskole,Grundskoler,Friskoler og private grundskoler,"(56.579679270332605, 9.50456816416945)",Møldrup,Viborg Kommune,2011,5433.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1025,775302,7.6,7.4,791,56.5949847441848,9.62724813641738,9500,Klejtrup Musikefterskole,Efterskoler,Efterskoler,"(56.5949847441848, 9.62724813641738)",Hobro,Viborg Kommune,2011,6903.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1026,777004,5.6,5.9,779,56.70172597016279,8.98630004415598,7870,Roslev Skole,Grundskoler,Folkeskoler,"(56.70172597016279, 8.98630004415598)",Roslev,Skive Kommune,2011,4606.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1027,783002,6.4,6.3,779,56.68772933331329,9.07186915562408,7870,Breum Skole,Grundskoler,Folkeskoler,"(56.68772933331329, 9.07186915562408)",Roslev,Skive Kommune,2011,4606.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1028,783300,6.7,6.6,779,56.673523556943294,9.01392781139023,7870,Salling Efterskole,Efterskoler,Efterskoler,"(56.673523556943294, 9.01392781139023)",Roslev,Skive Kommune,2011,4606.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1029,779001,6.1,5.9,779,56.550480060583716,9.03397956758476,7800,Brårup Skole,Grundskoler,Folkeskoler,"(56.55048006058371, 9.03397956758476)",Skive,Skive Kommune,2011,7354.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1030,779006,7.2,6.9,779,56.5903841829463,9.02564345533597,7800,Resen Skole,Grundskoler,Folkeskoler,"(56.5903841829463, 9.02564345533597)",Skive,Skive Kommune,2011,7354.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1031,779007,6.1,6.4,779,56.5813735125274,9.03670846908477,7800,Skivehus Skole,Grundskoler,Folkeskoler,"(56.5813735125274, 9.03670846908477)",Skive,Skive Kommune,2011,7354.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1032,779008,6.7,6.3,779,56.5675958091156,9.019330626923493,7800,Aakjærskolen,Grundskoler,Folkeskoler,"(56.5675958091156, 9.019330626923491)",Skive,Skive Kommune,2011,7354.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1033,779004,6.4,6.4,779,56.553177398840894,9.112981205553133,7840,Højslev Skole,Grundskoler,Folkeskoler,"(56.553177398840894, 9.112981205553131)",Højslev,Skive Kommune,2011,4434.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1034,781006,5.5,5.9,779,56.610202268327704,8.87991230889117,7860,Vestsalling Skole og Dagtilbud,Grundskoler,Folkeskoler,"(56.610202268327704, 8.87991230889117)",Spøttrup,Skive Kommune,2011,4972.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1035,781008,5.4,5.7,779,56.644167481958505,8.806147036395007,7860,Rødding Friskole,Grundskoler,Friskoler og private grundskoler,"(56.644167481958505, 8.806147036395009)",Spøttrup,Skive Kommune,2011,4972.0,183229,1.491666666666667,3.1,14.9,10.3,3.0205074912136864
1036,785002,6.1,6.2,787,56.8120156228479,8.40353185150999,7755,Bedsted Skole,Grundskoler,Folkeskoler,"(56.8120156228479, 8.40353185150999)",Bedsted Thy,Thisted Kommune,2011,4347.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1037,785300,5.4,5.8,787,56.85217603,8.36426822,7755,Svankjær Efterskole,Efterskoler,Efterskoler,"(56.85217603, 8.36426822)",Bedsted Thy,Thisted Kommune,2011,4347.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
