,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1087,819300,4.6,5.7,860,57.56228405606179,9.98648136065546,9850,Horne Efterskole,Efterskoler,Efterskoler,"(57.56228405606179, 9.98648136065546)",Hirtshals,Hjørring Kommune,2011,5809.0,183635,1.7249999999999999,3.6,20.3,12.1,3.0342382221419215
1088,821011,7.3,7.1,860,57.45682051533711,9.996538509039368,9800,Hjørring Private Realskole,Grundskoler,Friskoler og private grundskoler,"(57.45682051533711, 9.996538509039368)",Hjørring,Hjørring Kommune,2011,7789.0,183635,1.7249999999999999,3.6,20.3,12.1,3.0342382221419215
1089,821300,5.7,6.1,860,57.43658552018379,9.97095647545876,9800,Halvorsminde Efterskole og Halvor Fri Fagskole,Efterskoler,Efterskoler,"(57.43658552018379, 9.97095647545876)",Hjørring,Hjørring Kommune,2011,7789.0,183635,1.7249999999999999,3.6,20.3,12.1,3.0342382221419215
1090,825001,6.1,6.1,825,57.2537420522268,11.0024110410527,9940,Læsø Skole,Grundskoler,Folkeskoler,"(57.2537420522268, 11.0024110410527)",Læsø,Læsø Kommune,2011,,176809,0.5666666666666668,3.1,18.5,15.6,0.30959752321981426
1091,827005,6.9,6.5,820,56.8999963282621,9.236050808470221,9681,Ranum Skole,Grundskoler,Folkeskoler,"(56.8999963282621, 9.236050808470221)",Ranum,Vesthimmerlands Kommune,2011,,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
1092,831003,6.6,6.8,851,56.980017938925506,9.641675616555867,9240,Nibe Skole,Grundskoler,Folkeskoler,"(56.980017938925506, 9.641675616555869)",Nibe,Aalborg Kommune,2011,9021.0,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
1093,831006,7.1,7.0,851,56.9025649562498,9.541169682873473,9240,Skørbæk-Ejdrup Friskole,Grundskoler,Friskoler og private grundskoler,"(56.9025649562498, 9.541169682873472)",Nibe,Aalborg Kommune,2011,9021.0,187797,1.491666666666667,4.4,16.6,12.1,5.097634247089748
1094,833004,6.1,6.1,840,56.702873057847796,9.641508532904133,9610,Sortebakkeskolen,Grundskoler,Folkeskoler,"(56.702873057847796, 9.641508532904131)",Nørager,Rebild Kommune,2011,5909.0,198058,1.125,1.9,12.8,11.7,2.3083364266537756
1095,833300,4.8,5.4,840,56.765850266724904,9.576572415512759,9610,Borremose Erhvervsefterskole,Efterskoler,Efterskoler,"(56.765850266724904, 9.576572415512759)",Nørager,Rebild Kommune,2011,5909.0,198058,1.125,1.9,12.8,11.7,2.3083364266537756
1096,833302,6.5,6.6,840,56.7861505379404,9.678861003571471,9610,Himmerlandscentrets Idrætsefterskole,Efterskoler,Efterskoler,"(56.7861505379404, 9.678861003571471)",Nørager,Rebild Kommune,2011,5909.0,198058,1.125,1.9,12.8,11.7,2.3083364266537756
