,municipality,left_votes,right_votes,left_share,right_share,kom_kode
84,Svendborg Kommune,21818,17166,0.5596655037964293,0.4403344962035707,479
85,Syddjurs Kommune,13319,13942,0.488573419903892,0.511426580096108,706
86,Sønderborg Kommune,20648,26843,0.43477711566402055,0.5652228843359794,540
87,Thisted Kommune,12973,15928,0.44887720148091764,0.5511227985190824,787
88,Tårnby Kommune,13133,12865,0.5051542426340487,0.4948457573659512,185
89,Tønder Kommune,9679,14817,0.39512573481384716,0.6048742651861528,550
90,Vallensbæk Kommune,3750,5192,0.4193692686199955,0.5806307313800044,187
91,Varde Kommune,10671,21097,0.3359040543943591,0.6640959456056409,573
92,Vejen Kommune,10182,16606,0.3800955651784381,0.6199044348215619,575
93,Vejle Kommune,29077,38903,0.4277287437481612,0.5722712562518387,630
94,Vesthimmerlands Kommune,9932,13662,0.4209544799525303,0.5790455200474697,820
95,Viborg Kommune,26735,33109,0.44674486999532115,0.5532551300046789,791
96,Vordingborg Kommune,15885,14852,0.5168038520350067,0.48319614796499333,390
97,Ærø Kommune,2080,2534,0.45080190723883834,0.5491980927611617,492
