,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
0,101001,7.4,7.1,101.0,55.6729159978565,12.575738616700999,1552.0,456.0,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,7.8,7.4,101.0,55.69057241088161,12.5862454099148,1350.0,505.0,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,7.3,7.2,101.0,55.686493209469496,12.5832427650795,1307.0,433.0,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,5.0,5.6,101.0,55.6902881167035,12.544704464126301,2200.0,551.0,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,4.9,5.1,101.0,55.687825641869004,12.550209992394901,2200.0,504.0,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,5.2,5.7,101.0,55.704386340680706,12.508446326404,2700.0,685.0,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.5,6.6,101.0,55.704169199945405,12.4947869758271,2700.0,690.0,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,5.3,5.5,101.0,55.6988371703698,12.5272299764227,2400.0,470.0,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101016,5.6,5.3,,,,,214.0,,,,"(nan, nan)"
9,101017,6.3,6.1,101.0,55.7060885641584,12.473761688803698,2700.0,577.0,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
10,101018,8.2,7.5,101.0,55.6848392747371,12.4815099396248,2720.0,773.0,Hyltebjerg Skole,Grundskoler,Folkeskoler,"(55.6848392747371, 12.4815099396248)"
11,101019,6.6,6.8,101.0,55.690223062739,12.4987635776381,2720.0,773.0,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
12,101020,6.5,6.7,101.0,55.696308780138,12.482887762769302,2720.0,799.0,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
13,101021,5.0,5.7,101.0,55.7095599787281,12.4693256156746,2700.0,707.0,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
14,101022,5.9,6.1,101.0,55.697004850485705,12.507010821589802,2720.0,713.0,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
15,101023,3.5,4.4,101.0,55.7190877977116,12.484466885778401,2700.0,424.0,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
16,101024,6.2,6.1,101.0,55.6864665871815,12.4816166015543,2720.0,344.0,Vanløse Skole,Grundskoler,Folkeskoler,"(55.6864665871815, 12.4816166015543)"
17,101029,4.7,4.9,101.0,55.7097800671489,12.533511075824,2400.0,463.0,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
18,101030,6.1,6.4,101.0,55.724450197991295,12.5287620322137,2400.0,657.0,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
19,101034,3.7,4.8,101.0,55.699025080831206,12.5495949937569,2200.0,631.0,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
20,101035,3.9,4.4,101.0,55.693185103816205,12.5531439907036,2200.0,619.0,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
21,101039,6.4,6.7,101.0,55.7057827485052,12.5807941283846,2100.0,497.0,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
22,101041,7.5,6.9,101.0,55.71124434353129,12.579208584077598,2100.0,549.0,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
23,101042,6.6,6.7,101.0,55.7087556166683,12.5788239345057,2100.0,502.0,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
24,101043,6.9,7.1,101.0,55.692564602145005,12.5775684168944,2100.0,566.0,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
25,101045,4.8,4.8,101.0,55.7053610702465,12.5581524982066,2100.0,207.0,Nørre Fælled Skole,Grundskoler,Folkeskoler,"(55.7053610702465, 12.5581524982066)"
26,101047,6.3,6.6,101.0,55.674008557273595,12.596668921721498,1422.0,718.0,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
27,101049,5.5,5.6,101.0,55.64855353372789,12.5954335137235,2300.0,448.0,Dyvekeskolen,Grundskoler,Folkeskoler,"(55.64855353372789, 12.5954335137235)"
28,101050,5.1,5.2,101.0,55.6631089602849,12.6088427991237,2300.0,504.0,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
29,101051,7.0,6.7,101.0,55.64725478560229,12.6166969527242,2300.0,642.0,Gerbrandskolen,Grundskoler,Folkeskoler,"(55.64725478560229, 12.6166969527242)"
30,101052,6.5,6.3,101.0,55.6467457419843,12.603824731219401,2300.0,629.0,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
31,101053,6.4,6.6,101.0,55.6532315899916,12.628020114748399,2300.0,777.0,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
32,101055,6.1,5.8,101.0,55.6514496031089,12.6138477964519,2300.0,409.0,Sundbyøster Skole,Grundskoler,Folkeskoler,"(55.6514496031089, 12.6138477964519)"
33,101058,5.9,5.6,101.0,55.664994202965495,12.613406966616399,2300.0,649.0,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
34,101059,7.4,6.9,101.0,55.6629241401929,12.583199412125799,2300.0,739.0,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
35,101060,5.4,5.7,101.0,55.655356332401894,12.596598560878999,2300.0,737.0,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
36,101062,3.3,4.4,101.0,55.6578964166001,12.5356498902901,2450.0,341.0,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
37,101063,5.8,5.6,101.0,55.6510747055513,12.531610607486801,2450.0,390.0,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
38,101064,6.3,6.3,101.0,55.6664515798549,12.5449517678894,1670.0,720.0,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
39,101070,5.2,5.9,101.0,55.666652912372896,12.486321625850401,2500.0,489.0,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
40,101071,4.4,5.1,101.0,55.649156789376605,12.501983122535801,2500.0,662.0,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
41,101072,5.6,5.9,101.0,55.6601006734379,12.484063677139199,2500.0,370.0,Lykkebo Skole,Grundskoler,Folkeskoler,"(55.6601006734379, 12.484063677139199)"
42,101074,5.4,5.6,101.0,55.6651536990499,12.509108238038301,2500.0,552.0,Valby Skole,Grundskoler,Folkeskoler,"(55.6651536990499, 12.509108238038301)"
