,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
0,101001,8.2,7.8,101,55.6729159978565,12.575738616700999,1552,500.0,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,6.9,7.2,101,55.69057241088161,12.5862454099148,1350,550.0,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,8.1,7.9,101,55.686493209469496,12.5832427650795,1307,472.0,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,5.5,5.4,101,55.6902881167035,12.544704464126301,2200,685.0,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,4.9,5.3,101,55.687825641869004,12.550209992394901,2200,476.0,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,6.2,6.6,101,55.704386340680706,12.508446326404,2700,819.0,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.5,6.8,101,55.704169199945405,12.4947869758271,2700,714.0,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,6.0,5.7,101,55.6988371703698,12.5272299764227,2400,449.0,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101017,6.0,6.0,101,55.7060885641584,12.473761688803698,2700,641.0,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
9,101018,7.8,7.6,101,55.6848392747371,12.4815099396248,2720,796.0,Hyltebjerg Skole,Grundskoler,Folkeskoler,"(55.6848392747371, 12.4815099396248)"
10,101019,7.3,7.6,101,55.690223062739,12.4987635776381,2720,835.0,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
11,101020,6.0,6.5,101,55.696308780138,12.482887762769302,2720,796.0,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
12,101021,4.8,5.2,101,55.7095599787281,12.4693256156746,2700,663.0,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
13,101022,5.2,5.5,101,55.697004850485705,12.507010821589802,2720,727.0,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
14,101023,4.4,4.8,101,55.7190877977116,12.484466885778401,2700,421.0,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
15,101024,6.1,6.4,101,55.6864665871815,12.4816166015543,2720,402.0,Vanløse Skole,Grundskoler,Folkeskoler,"(55.6864665871815, 12.4816166015543)"
16,101029,4.5,4.8,101,55.7097800671489,12.533511075824,2400,497.0,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
17,101030,6.3,6.5,101,55.724450197991295,12.5287620322137,2400,620.0,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
18,101034,5.8,5.6,101,55.699025080831206,12.5495949937569,2200,505.0,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
19,101035,6.1,6.5,101,55.693185103816205,12.5531439907036,2200,870.0,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
20,101039,6.6,7.1,101,55.7057827485052,12.5807941283846,2100,492.0,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
21,101041,6.8,6.8,101,55.71124434353129,12.579208584077598,2100,586.0,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
22,101042,6.9,7.0,101,55.7087556166683,12.5788239345057,2100,566.0,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
23,101043,7.3,7.6,101,55.692564602145005,12.5775684168944,2100,646.0,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
24,101045,5.9,5.3,101,55.7053610702465,12.5581524982066,2100,247.0,Nørre Fælled Skole,Grundskoler,Folkeskoler,"(55.7053610702465, 12.5581524982066)"
25,101047,6.8,7.2,101,55.674008557273595,12.596668921721498,1422,728.0,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
26,101049,5.6,5.7,101,55.64855353372789,12.5954335137235,2300,361.0,Dyvekeskolen,Grundskoler,Folkeskoler,"(55.64855353372789, 12.5954335137235)"
27,101050,5.9,5.6,101,55.6631089602849,12.6088427991237,2300,504.0,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
28,101051,6.7,7.2,101,55.64725478560229,12.6166969527242,2300,632.0,Gerbrandskolen,Grundskoler,Folkeskoler,"(55.64725478560229, 12.6166969527242)"
29,101052,6.6,6.6,101,55.6467457419843,12.603824731219401,2300,650.0,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
30,101053,7.2,7.4,101,55.6532315899916,12.628020114748399,2300,838.0,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
31,101055,4.8,5.4,101,55.6514496031089,12.6138477964519,2300,402.0,Sundbyøster Skole,Grundskoler,Folkeskoler,"(55.6514496031089, 12.6138477964519)"
32,101058,5.9,6.0,101,55.664994202965495,12.613406966616399,2300,660.0,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
33,101059,6.3,6.9,101,55.6629241401929,12.583199412125799,2300,996.0,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
34,101060,6.0,6.1,101,55.655356332401894,12.596598560878999,2300,724.0,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
35,101062,4.6,4.8,101,55.6578964166001,12.5356498902901,2450,283.0,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
36,101063,5.7,5.6,101,55.6510747055513,12.531610607486801,2450,366.0,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
37,101064,6.2,6.9,101,55.6664515798549,12.5449517678894,1670,817.0,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
38,101069,5.8,6.3,101,55.667596755247494,12.550323216110101,1663,498.0,Oehlenschlægersgades Skole,Grundskoler,Folkeskoler,"(55.667596755247494, 12.550323216110101)"
39,101070,6.1,6.7,101,55.666652912372896,12.486321625850401,2500,537.0,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
40,101071,4.4,5.2,101,55.649156789376605,12.501983122535801,2500,595.0,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
41,101072,5.0,5.4,101,55.6601006734379,12.484063677139199,2500,386.0,Lykkebo Skole,Grundskoler,Folkeskoler,"(55.6601006734379, 12.484063677139199)"
42,101074,5.8,6.3,101,55.6651536990499,12.509108238038301,2500,594.0,Valby Skole,Grundskoler,Folkeskoler,"(55.6651536990499, 12.509108238038301)"
