,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates
0,101001,8.8,8.1,101,55.6729159978565,12.575738616700999,1552,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,7.7,7.7,101,55.69057241088161,12.5862454099148,1350,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,8.1,7.8,101,55.686493209469496,12.5832427650795,1307,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,6.5,6.8,101,55.6902881167035,12.544704464126301,2200,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,5.4,6.0,101,55.687825641869004,12.550209992394901,2200,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,6.4,6.7,101,55.704386340680706,12.508446326404,2700,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.0,6.7,101,55.704169199945405,12.4947869758271,2700,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,5.8,5.7,101,55.6988371703698,12.5272299764227,2400,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101017,6.7,6.9,101,55.7060885641584,12.473761688803698,2700,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
9,101019,7.5,7.8,101,55.690223062739,12.4987635776381,2720,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
10,101020,7.1,7.4,101,55.696308780138,12.482887762769302,2720,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
11,101021,5.4,5.5,101,55.7095599787281,12.4693256156746,2700,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
12,101022,7.0,7.1,101,55.697004850485705,12.507010821589802,2720,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
13,101023,5.0,5.4,101,55.7190877977116,12.484466885778401,2700,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
14,101029,5.4,5.5,101,55.7097800671489,12.533511075824,2400,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
15,101030,6.5,6.7,101,55.724450197991295,12.5287620322137,2400,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
16,101034,6.0,5.8,101,55.699025080831206,12.5495949937569,2200,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
17,101035,6.3,6.8,101,55.693185103816205,12.5531439907036,2200,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
18,101039,7.1,7.2,101,55.7057827485052,12.5807941283846,2100,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
19,101041,7.0,7.3,101,55.71124434353129,12.579208584077598,2100,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
20,101042,7.5,7.2,101,55.7087556166683,12.5788239345057,2100,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
21,101043,7.9,8.0,101,55.692564602145005,12.5775684168944,2100,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
22,101045,7.2,6.7,101,55.7053610702465,12.5581524982066,2100,Nørre Fælled Skole,Grundskoler,Folkeskoler,"(55.7053610702465, 12.5581524982066)"
23,101047,7.7,7.8,101,55.674008557273595,12.596668921721498,1422,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
24,101050,5.4,5.4,101,55.6631089602849,12.6088427991237,2300,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
25,101052,6.8,7.0,101,55.6467457419843,12.603824731219401,2300,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
26,101053,8.1,8.0,101,55.6532315899916,12.628020114748399,2300,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
27,101058,6.4,6.8,101,55.664994202965495,12.613406966616399,2300,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
28,101059,7.1,7.2,101,55.6629241401929,12.583199412125799,2300,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
29,101060,6.8,6.2,101,55.655356332401894,12.596598560878999,2300,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
30,101062,5.9,5.9,101,55.6578964166001,12.5356498902901,2450,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
31,101063,6.2,5.8,101,55.6510747055513,12.531610607486801,2450,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
32,101064,6.6,7.4,101,55.6664515798549,12.5449517678894,1670,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
33,101069,6.6,7.0,101,55.667596755247494,12.550323216110101,1663,Oehlenschlægersgades Skole,Grundskoler,Folkeskoler,"(55.667596755247494, 12.550323216110101)"
34,101070,7.4,7.6,101,55.666652912372896,12.486321625850401,2500,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
35,101071,5.6,5.7,101,55.649156789376605,12.501983122535801,2500,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
36,101072,6.1,5.8,101,55.6601006734379,12.484063677139199,2500,Lykkebo Skole,Grundskoler,Folkeskoler,"(55.6601006734379, 12.484063677139199)"
37,101074,6.3,6.7,101,55.6651536990499,12.509108238038301,2500,Valby Skole,Grundskoler,Folkeskoler,"(55.6651536990499, 12.509108238038301)"
38,101075,6.9,6.6,101,55.661452474609604,12.5080916879191,2500,Vigerslev Allés Skole,Grundskoler,Folkeskoler,"(55.661452474609604, 12.5080916879191)"
39,101076,6.5,6.3,101,55.6700885940723,12.495058522832698,2500,Ålholm Skole,Grundskoler,Folkeskoler,"(55.6700885940723, 12.495058522832698)"
40,101077,6.4,6.3,101,55.70033034223621,12.5350867947684,2400,Svanevej Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.70033034223621, 12.5350867947684)"
41,101079,8.4,8.2,101,55.6732833108904,12.593893093146301,1420,Christianshavns Døttreskole,Grundskoler,Friskoler og private grundskoler,"(55.6732833108904, 12.593893093146301)"
42,101080,7.0,6.7,101,55.683976258937996,12.5667857706436,1364,Det Kgl Vaisenhus Skole,Grundskoler,Friskoler og private grundskoler,"(55.683976258937996, 12.5667857706436)"
43,101081,8.7,8.1,101,55.6941915753893,12.582307786777198,2100,Institut Sankt Joseph,Grundskoler,Friskoler og private grundskoler,"(55.6941915753893, 12.582307786777198)"
44,101082,7.2,7.2,101,55.68824371888821,12.5593533207393,2200,Sankt Ansgars Skole,Grundskoler,Friskoler og private grundskoler,"(55.68824371888821, 12.5593533207393)"
45,101083,8.9,8.4,101,55.689790970187595,12.5755962794031,2100,Krebs' Skole,Grundskoler,Friskoler og private grundskoler,"(55.689790970187595, 12.5755962794031)"
46,101084,7.7,7.3,101,55.653833385258295,12.6071414814094,2300,Sankt Annæ Skole,Grundskoler,Friskoler og private grundskoler,"(55.653833385258295, 12.6071414814094)"
47,101086,8.1,8.3,101,55.6941743205278,12.576322905164199,2100,Bordings Friskole,Grundskoler,Friskoler og private grundskoler,"(55.6941743205278, 12.576322905164199)"
48,101088,8.5,8.1,101,55.6827235384127,12.569256361673999,1361,N. Zahles Seminarieskole,Grundskoler,Friskoler og private grundskoler,"(55.6827235384127, 12.569256361673999)"
